Date	Time	IND	Latitude	Longitude	Trip
01/01/2010	09:30:30	E	3466080	9261222	1
01/01/2010	09:31:30	E	3466090	9261230	1
01/01/2010	09:32:30	E	3466090.5	9261244	1
01/01/2010	09:33:30	E	3466131.5	9261267	1
01/01/2010	09:34:30	E	3466098	9261238	1
01/01/2010	09:35:30	E	3466129.458	9261264.58	1
01/01/2010	09:36:30	E	3466144.35	9261274	1
01/01/2010	09:37:30	E	3466164.242	9261283.92	1
01/01/2010	09:38:30	E	3466139.133	9261289.33	1
01/01/2010	09:39:30	E	3466163.608	9261299.71	1
01/01/2010	09:40:30	E	3466172.417	9261298.52	1
01/01/2010	09:41:30	E	3466171.225	9261297.33	1
01/01/2010	09:42:30	E	3466170.033	9261296.13	1
01/01/2010	09:43:30	E	3466168.842	9261294.94	1
01/01/2010	09:44:30	E	3466167.65	9261293.75	1
01/01/2010	09:45:30	E	3466166.458	9261292.56	1
01/01/2010	09:46:30	E	3466165.267	9261291.37	1
01/01/2010	09:47:30	E	3466164.075	9261290.18	1
01/01/2010	09:48:30	E	3466162.883	9261288.98	1
01/01/2010	09:49:30	E	3466151.692	9261277.79	1
01/01/2010	09:50:30	E	3466140.5	9261266.6	1
01/01/2010	09:51:30	E	3466129.308	9261255.41	1
01/01/2010	09:52:30	E	3466118.117	9261244.22	1
01/01/2010	09:53:30	E	3466106.925	9261233.03	1
01/01/2010	09:54:30	E	3466092.733	9261221.83	1
01/01/2010	09:55:30	E	3466078.542	9261210.64	1
01/01/2010	09:57:30	E	3466080	9261222	1
02/01/2010	09:58:30	F	3466080	9261222	2
02/01/2010	09:59:30	F	3466035	9261227.4	2
02/01/2010	10:00:30	F	3466012.917	9261217.29	2
02/01/2010	10:01:30	F	3465990.833	9261197.18	2
02/01/2010	10:02:30	F	3465972.75	9261227.08	2
02/01/2010	10:03:30	F	3465988	9261191	2
02/01/2010	10:04:30	F	3465960	9261200	2
02/01/2010	10:05:30	F	3465930.5	9261204	2
02/01/2010	10:06:30	F	3465961.5	9261217	2
02/01/2010	10:07:30	F	3465918	9261178	2
02/01/2010	10:08:30	F	3465939.458	9261194.58	2
02/01/2010	10:09:30	F	3465944.35	9261194	2
02/01/2010	10:10:30	F	3465964.242	9261193.92	2
02/01/2010	10:11:30	F	3465939.133	9261189.33	2
02/01/2010	10:12:30	F	3465963.608	9261189.71	2
02/01/2010	10:13:30	F	3465972.417	9261188.52	2
02/01/2010	10:14:30	F	3465981.225	9261197.33	2
02/01/2010	10:15:30	F	3465990.033	9261196.13	2
02/01/2010	10:16:30	F	3466003.842	9261194.94	2
02/01/2010	10:17:30	F	3466014.65	9261203.75	2
02/01/2010	10:19:30	F	3466037.458	9261202.56	2
02/01/2010	10:20:30	F	3466052	9261228.7	2
02/01/2010	10:21:30	F	3466080	9261222	2
03/01/2010	10:22:30	E	3466080	9261222	3
03/01/2010	10:23:30	E	3466061.692	9261207.79	3
03/01/2010	10:24:30	E	3466060.5	9261216.6	3
03/01/2010	10:25:30	E	3466059.308	9261225.41	3
03/01/2010	10:26:30	E	3466062.5	9261278.05	3
03/01/2010	10:27:30	E	3466056.925	9261243.03	3
03/01/2010	10:28:30	E	3466045.733	9261251.83	3
